Temperature,Density,VaporPressure,Viscosity,SurfaceTension,ThermalConductivity,HeatCapacity
Celsius,g/cm^3,kPa,mm^2/s,N/m,W/(m*K),kJ/(kg*K)
-40,0.843866667,,9.2,,,
-20,0.829683333,,4.5,,,
-10,,,,0.028028403,,1.88954449
0,0.815116667,0.04835033,,,0.124230769,1.9302667
10,,,,,,1.96006123
20,0.8017,0.435152966,,0.024818739,0.120192308,1.98830303
30,,,,,,2.02902524
40,0.787325,0.821955603,1.31,0.023619632,0.116057692,2.06817277
50,,,,,,2.11045502
60,,2.272465491,,,0.112211538,2.14960987
70,,,,,,2.19033207
80,,4.931733619,,,,2.22012661
90,,,,,,2.2514812
100,,9.863467237,0.68,,,2.29063604
120,,18.75992788,,,,2.32043789
130,,,,,,2.3705204
140,,,,,,2.41279534
150,,,,,,2.4519575
160,,,,,,2.49110503
,,,,,,2.54118754
