Temperature,Density,VaporPressure,Viscosity,SurfaceTension,ThermalConductivity,HeatCapacity
Celsius,g/cm^3,kPa,mm^2/s,N/m,W/(m*K),kJ/(kg*K)
-40,0.822975,,6.6,,,
-20,0.8086,,3.5,,,
-10,,,,0.025842439,,2.018461485
0,0.794225,0.04835033,,,0.129038462,2.047461358
10,,,,,,2.07898547
20,0.77985,0.628554285,,0.023836238,,2.11025023
30,,,,,0.124038462,2.13774594
40,0.765283333,1.402159558,1.14,0.022833667,0.12,2.18032366
50,,,,,,2.21013612
60,,3.432873401,,,0.116153846,2.24866239
70,,,,,,2.28799548
80,,7.397600428,,,,2.32905174
90,,,,,,2.36824652
100,,14.60179954,0.61,,,2.4095333
110,,,,,,2.44825551
120,,26.59268128,,,,2.48820526
130,,,,,,2.52931339
140,,,,,,2.56860038
150,,,,,,2.60919559
160,,,,,,2.66087899
