Compound,Reference Compound,SMILES,PelePhysics Key,Weight %
Toluene,toluene,CC1=CC=CC=C1,C6H5CH3,0.25
C2-Benzene,ethyl benzene ,CCC1=CC=CC=C1,C6H5C2H5,1.98
C3-Benzene,propyl benzene,CCCC1=CC=CC=C1,C6H5C3H7,4.17
C4-Benzene,butyl benzene,CCCCC1=CC=CC=C1,C6H5C4H9,2.33
C5-Benzene,pentyl benzene,CCCCCC1=CC=CC=C1,C6H5C5H11,1.19
C6-Benzene,hexyl benzene,CCCCCCC1=CC=CC=C1,C6H5C6H13,0.66
C7-Benzene,heptyl benzene,CCCCCCCC1=CC=CC=C1,C6H5C7H15,0.25
C8-Benzene,octyl benzene,CCCCCCCCC1=CC=CC=C1,C6H5C8H17,0.12
C9-Benzene,nonyl benzene,CCCCCCCCCC1=CC=CC=C1,C6H5C9H19,0.06
Diaromatic-C10,naphthalene,C1=CC2=CC=CC=C2C=C1,NAPH,0.1
Diaromatic-C11,1-methyl naphthalene,CC1=CC2=CC=CC=C2C=C1,METHYLNAPH-1,0.33
Diaromatic-C12,1-ethyl naphthalene,CCC1=CC2=CC=CC=C2C=C1,ETHYLNAPH-1,0.41
Diaromatic-C13,1-propyl naphthalene,CCCC1=CC2=CC=CC=C2C=C1,PROPYLNAPH-1,0.22
Cycloaromatic-C09,indane,C1CC2=CC=CC=C2C1,INDANE,0.02
Cycloaromatic-C10,tetralin,C1CCC2=CC=CC=C2C1,TETRA,0.19
Cycloaromatic-C11,2-methyl tetralin,CC1CCC2=CC=CC=C2C1,METHYLTETRA-2,0.37
Cycloaromatic-C12,2-ethly tetralin,CCC1CCC2=CC=CC=C2C1,ETHYLTETRA-2,0.38
Cycloaromatic-C13,2-propyl tetralin,CCCC1CCC2=CC=CC=C2C1,PROPYLTETRA-2,0.34
Cycloaromatic-C14,2-butyl tetralin,CCCCC1CCC2=CC=CC=C2C1,BUTYLTETRA-2,0.19
C07-Isoparaffin,2-methyl hexane,CC(C)CCCC,C7H16-2,0.21
C08-Isoparaffin,2-methyl heptane,CC(C)CCCCC,C8H18-2,0.88
C09-Isoparaffin,2-methyl octane,CC(C)CCCCCC,C9H20-2,2.59
C10-Isoparaffin,2-methyl nonane,CC(C)CCCCCCC,C10H22-2,8.15
C11-Isoparaffin,2-methyl decane,CC(C)CCCCCCCC,C11H24-2,8.38
C12-Isoparaffin,2-methyl undecane,CC(C)CCCCCCCCC,C12H26-2,5.41
C13-Isoparaffin,2-methyl dodecane,CC(C)CCCCCCCCCC,C13H28-2,4.63
C14-Isoparaffin,2-methyl tridecane,CC(C)CCCCCCCCCCC,C14H30-2,3.96
C15-Isoparaffin,2-methyl tetradecane,CC(C)CCCCCCCCCCCC,C15H32-2,2.28
C16-Isoparaffin,2-methyl pentadecane,CC(C)CCCCCCCCCCCCC,C16H34-2,0.75
C17-Isoparaffin,2-methyl hexadecane,CC(C)CCCCCCCCCCCCCC,C17H36-2,0.2
C18-Isoparaffin,2-methyl heptadecane,CC(C)CCCCCCCCCCCCCCC,C18H38-2,0.03
C19-Isoparaffin,2-methyl octadecane,CC(C)CCCCCCCCCCCCCCCC,C19H40-2,0.0
C20-Isoparaffin,2-methyl nonadecane,CC(C)CCCCCCCCCCCCCCCCC,C20H42-2,0.0
n-C07,n-heptane,CCCCCCC,NC7H16,0.24
n-C08,n-octane,CCCCCCCC,NC8H18,1.11
n-C09,n-nonane,CCCCCCCCC,NC9H20,2.97
n-C10,n-decane,CCCCCCCCCC,NC10H22,6.46
n-C11,n-undecane,CCCCCCCCCCC,NC11H24,5.22
n-C12,n-dodecane,CCCCCCCCCCCC,NC12H26,3.99
n-C13,n-tridecane,CCCCCCCCCCCCC,NC13H28,2.97
n-C14,n-tetradecane,CCCCCCCCCCCCCC,NC14H30,1.97
n-C15,n-pentadecane,CCCCCCCCCCCCCCC,NC15H32,0.83
n-C16,n-hexadecane (cetane),CCCCCCCCCCCCCCCC,NC16H34,0.23
n-C17,n-heptadecane,CCCCCCCCCCCCCCCCC,NC17H36,0.06
n-C18,n-octadecane,CCCCCCCCCCCCCCCCCC,NC18H38,0.0
C07-Monocycloparaffin,methyl cyclohexane,CC1CCCCC1,C6H11CH3,0.51
